county_id,road
09007,
09007,塘岐村
09020,
09020,三多路
09020,三民路
09020,下莊中興路
09020,下莊光武路
09020,下莊新生街
09020,中山路
09020,中正路
09020,中環路
09020,中興街
09020,中興路
09020,九井路
09020,五福街
09020,仁愛街
09020,伯玉路
09020,信義街
09020,信義路
09020,光前路
09020,光華路
09020,八青一路
09020,八青路
09020,前港路
09020,勝利路
09020,南機路
09020,博愛街
09020,和平街
09020,和平路
09020,國中路
09020,國順街
09020,士校路
09020,大學路
09020,太湖路
09020,官路
09020,官路邊
09020,寧湖路
09020,少康路
09020,山外街
09020,工二路
09020,市港一路
09020,市港三路
09020,市港二路
09020,市港五路
09020,市港六路
09020,市港路
09020,復國路
09020,復興街
09020,復興西路
09020,復興路
09020,德明路
09020,慈湖路
09020,成功路
09020,文化路
09020,新興街
09020,新豐路
09020,東林北街
09020,東林街
09020,東觀路
09020,林堡路
09020,林森路
09020,林湖路
09020,柏村路
09020,桃園路
09020,模範街
09020,歐濱路
09020,武德新莊自強路
09020,民族路
09020,民權路
09020,民生路
09020,沙青路
09020,浯江北堤路
09020,浯江街
09020,浯江路
09020,湖峰一街
09020,湖峰七街
09020,湖峰二街
09020,湖峰路
09020,玉章路
09020,珠埔北路
09020,珠水路
09020,珠浦北路
09020,珠浦南路
09020,珠浦東路
09020,珠浦西路
09020,環島北路
09020,環島南路
09020,環島南路塔后段
09020,環島南路湖前段
09020,環島東路
09020,環島西路
09020,瓊安路
09020,瓊徑路
09020,瓊林街
09020,瓊義路
09020,盤果路
09020,經武路
09020,自強路
09020,莒光路
09020,菜市場路
09020,西園路
09020,西海路
09020,西湖路
09020,西路
09020,賢城路
09020,赤東路
09020,金山路
09020,金港路
09020,金豐路
09020,陽沙路
09020,陽翟新興街
09020,雙瓊路
09020,頂林路
09020,高陽路
09020,黃海路
10002,
10002,一結路
10002,七圳路
10002,七張路
10002,七星嶺
10002,七結路
10002,七賢路
10002,三中路
10002,三全路
10002,三吉一路
10002,三吉中路
10002,三吉二路
10002,三吉路
10002,三和路
10002,三城路
10002,三堵一路
10002,三堵三路
10002,三堵二路
10002,三堵五路
10002,三堵路
10002,三奇東路
10002,三奇路
10002,三奉路
10002,三德路
10002,三星路
10002,三星路365巷安農新
10002,三星路長埤
10002,三正路
10002,三民路
10002,三清路
10002,三皇路
10002,三福路
10002,三結一路
10002,三結三路
10002,三結二路
10002,三結五路
10002,三結東路
10002,三結西路
10002,三結路
10002,三興東路
10002,三興西路
10002,三興路
10002,三英路
10002,三順路
10002,三香路
10002,三鬮路
10002,上將路
10002,上河路
10002,下埔路
10002,下清路
10002,下湖路
10002,下福東路
10002,下福路
10002,中原路
10002,中和路
10002,中城一路
10002,中城二路
10002,中城路
10002,中央路
10002,中山一路
10002,中山七路
10002,中山三路
10002,中山二路
10002,中山五路
10002,中山六路
10002,中山東路
10002,中山西街
10002,中山路
10002,中山路中央商場
10002,中崙路
10002,中庸街
10002,中榮路
10002,中正北路
10002,中正南路
10002,中正東路
10002,中正街
10002,中正西路
10002,中正路
10002,中正路篤行三村
10002,中溪洲路
10002,中福北路
10002,中福南路
10002,中興一路
10002,中興七路
10002,中興三路
10002,中興九路
10002,中興二路
10002,中興五路
10002,中興八路
10002,中興六路
10002,中興十一路
10002,中興路
10002,中華路
10002,中里路
10002,中間
10002,丸山一路
10002,丸山三路
10002,丸山二路
10002,丸山五路
10002,丸山六路
10002,丸山路
10002,九分一路
10002,九分三路
10002,九分二路
10002,九分路
10002,二城路
10002,二塹路
10002,二湖路
10002,二結路
10002,五分路
10002,五峰路
10002,五濱路
10002,五甲路
10002,五結中路
10002,五結北路
10002,五結路
10002,仁一路
10002,仁七路
10002,仁三路
10002,仁二路
10002,仁五路
10002,仁六路
10002,仁愛新村
10002,仁愛路
10002,仁澤山莊
10002,仙公路
10002,份尾一路
10002,份尾三路
10002,份尾二路
10002,佛光路
10002,保安一路
10002,保安二路
10002,信光路
10002,信義路
10002,倉前路
10002,健富路
10002,健康一街
10002,健康二街
10002,健康路
10002,傳藝路
10002,光復路
10002,光明一路
10002,光明二路
10002,光明街
10002,光明路
10002,光榮北路
10002,光榮路
10002,光武街
10002,光華一路
10002,光華三路
10002,光華二路
10002,光華五路
10002,光華六路
10002,光華新路
10002,光華街
10002,光華路
10002,內城路
10002,內埤路
10002,內大溪路
10002,內湖一路
10002,內湖路
10002,全祿街
10002,八仙一路
10002,八仙三路
10002,八仙二路
10002,八仙五路
10002,八仙路
10002,八寶路
10002,八甲路
10002,公園一路
10002,公園三路
10002,公園二路
10002,公園北路
10002,公園路
10002,公正街
10002,公正路
10002,公路
10002,公路新村
10002,公館路
10002,六結路
10002,再連路
10002,冬山路
10002,冷水路
10002,冷泉路
10002,凱旋路
10002,利寶路
10002,利工一路
10002,利工三路
10002,利工二路
10002,利成路
10002,利澤南路
10002,利澤東路
10002,利澤西路
10002,利澤路
10002,利興三路
10002,利興二路
10002,力新路
10002,力行街
10002,力行路
10002,功勞路
10002,勝利街
10002,勝利路
10002,匏杓崙路
10002,化龍街
10002,北宜路
10002,北成路
10002,北投街
10002,北津路
10002,區界東路
10002,區界西路
10002,十六結路
10002,協同街
10002,協和中路
10002,協和路
10002,協天路
10002,協安路
10002,協松路
10002,協福路
10002,南安路
10002,南宜一路
10002,南宜二路
10002,南宜四路
10002,南寧路
10002,南強路
10002,南新路
10002,南昌東街
10002,南昌街
10002,南橋一路
10002,南橋三路
10002,南橋二路
10002,南橋路
10002,南津路
10002,南湖路
10002,南溪路
10002,南澳南路
10002,南澳路
10002,南盟路
10002,南興街
10002,南興路
10002,南門路
10002,南香路
10002,博愛路
10002,古亭路
10002,古結路
10002,合興路
10002,吉安路
10002,吉祥路
10002,同慶街
10002,同新路
10002,同興街
10002,向上路
10002,和平東路
10002,和平街
10002,和平路
10002,和睦路
10002,員山路
10002,四結
10002,四維路
10002,四育路
10002,國宅街
10002,國榮路
10002,國民中路
10002,國民南路
10002,國民路
10002,國華街
10002,土圍路
10002,圳寮路
10002,圳頭路
10002,坡城路
10002,坪林路
10002,城中路
10002,城南路
10002,城東路
10002,城隍街
10002,埤岸路
10002,埤頭路
10002,培英路
10002,堤防路
10002,塭底路
10002,境安一路
10002,境安二路
10002,境安路
10002,壯五路
10002,壯六路
10002,壯志路
10002,壯濱路
10002,外大溪路
10002,外澳路
10002,大吉一路
10002,大吉三路
10002,大吉二路
10002,大吉五路
10002,大吉東路
10002,大吉路
10002,大同路
10002,大圳路
10002,大坑路
10002,大坡路
10002,大埔一路
10002,大埔七路
10002,大埔三路
10002,大埔中路
10002,大埔二路
10002,大埔五路
10002,大埔六路
10002,大埔路
10002,大埤一路
10002,大埤二路
10002,大埤五路
10002,大埤路
10002,大塭路
10002,大學路
10002,大安一路
10002,大安二路
10002,大安路
10002,大富一路
10002,大富路
10002,大德中路
10002,大德新路
10002,大德路
10002,大忠路
10002,大成路
10002,大排一路
10002,大排七路
10002,大排三路
10002,大排二路
10002,大排五路
10002,大排六路
10002,大業路
10002,大洲一路
10002,大洲二路
10002,大洲原路
10002,大洲路
10002,大湖一路
10002,大湖七路
10002,大湖二十二路
10002,大湖二十路
10002,大湖二路
10002,大湖五路
10002,大湖八路
10002,大湖六路
10002,大湖十二路
10002,大湖十八路
10002,大湖十六路
10002,大湖十路
10002,大湖山一路
10002,大湖路
10002,大眾北路
10002,大眾此路
10002,大眾路
10002,大福路
10002,大竹圍路
10002,大義一路
10002,大義七路
10002,大義三路
10002,大義二路
10002,大義五路
10002,大義八路
10002,大義六路
10002,大義路
10002,大興路
10002,大通路
10002,大進一路
10002,大進七路
10002,大進三路
10002,大進九路
10002,大進二路
10002,大進五路
10002,大進八路
10002,大進六路
10002,大進十一路
10002,大進十路
10002,大進路
10002,大里路
10002,大隱一路
