name,dgbas_id
南投縣仁愛鄉德鹿谷村,1000813-017
南投縣信義鄉卡里布安村,1000812-015
南投縣水里鄉水里,1000811-001
南投縣竹山鎮硘[磘]里,1000804-005
嘉義市嘉義市,1002001
嘉義市嘉義市中央里,1002001-062
嘉義市嘉義市中山里,1002001-061
嘉義市嘉義市中庄里,1002001-004
嘉義市嘉義市仁義里,1002001-003
嘉義市嘉義市北門里,1002001-064
嘉義市嘉義市圳頭里,1002001-034
嘉義市嘉義市太平里,1002001-039
嘉義市嘉義市安寮里,1002001-052
嘉義市嘉義市安業里,1002001-067
嘉義市嘉義市宣信里,1002001-046
嘉義市嘉義市後庄里,1002001-036
嘉義市嘉義市後湖里,1002001-002
嘉義市嘉義市文雅里,1002001-066
嘉義市嘉義市新店里,1002001-035
嘉義市嘉義市新開里,1002001-045
嘉義市嘉義市朝陽里,1002001-058
嘉義市嘉義市東川里,1002001-038
嘉義市嘉義市東興里,1002001-060
嘉義市嘉義市林森里,1002001-063
嘉義市嘉義市民族里,1002001-057
嘉義市嘉義市王田里,1002001-037
嘉義市嘉義市盧厝里,1002001-041
嘉義市嘉義市短竹里,1002001-044
嘉義市嘉義市義教里,1002001-068
嘉義市嘉義市興仁里,1002001-055
嘉義市嘉義市興南里,1002001-047
嘉義市嘉義市興安里,1002001-053
嘉義市嘉義市興村里,1002001-054
嘉義市嘉義市芳安里,1002001-050
嘉義市嘉義市芳草里,1002001-049
嘉義市嘉義市荖藤里,1002001-001
嘉義市嘉義市華南里,1002001-059
嘉義市嘉義市蘭潭里,1002001-065
嘉義市嘉義市豐年里,1002001-048
嘉義市嘉義市過溝里,1002001-056
嘉義市嘉義市長竹里,1002001-043
嘉義市嘉義市頂寮里,1002001-051
嘉義市嘉義市頂庄里,1002001-005
嘉義市嘉義市鹿寮里,1002001-042
嘉義縣中埔鄉塩舘村,1001013-002
嘉義縣梅山鄉瑞里,1001015-016
嘉義縣義竹鄉仁里,1001010-004
宜蘭縣員山鄉金古村,1000207-017
宜蘭縣員山鄉金泰村,1000207-018
宜蘭縣壯圍鄉壯六村,1000206-015
宜蘭縣壯圍鄉美間村,1000206-017
宜蘭縣壯圍鄉順和村,1000206-016
屏東縣南州鄉仁里,1001320-003
屏東縣屏東市公園里,1001301-084
屏東縣屏東市崇陽里,1001301-083
屏東縣屏東市豐年里,1001301-082
屏東縣恆春鎮山海里萬里,1001304-012
屏東縣新園鄉瓦[磘]村,1001317-001
屏東縣春日鄉力里,1001331-006
屏東縣東港鎮內關帝里,1001303-025
屏東縣東港鎮新街里,1001303-027
屏東縣東港鎮東光里,1001303-028
屏東縣東港鎮東新里,1001303-026
屏東縣東港鎮東津里,1001303-024
屏東縣東港鎮福德里,1001303-023
彰化縣員林市,1000710
彰化縣員林市三信里,1000710-038
彰化縣員林市三和里,1000710-018
彰化縣員林市三多里,1000710-039
彰化縣員林市三愛里,1000710-037
彰化縣員林市三條里,1000710-017
彰化縣員林市三橋里,1000710-019
彰化縣員林市三義里,1000710-011
彰化縣員林市中央里,1000710-020
彰化縣員林市中山里,1000710-008
彰化縣員林市中東里,1000710-035
彰化縣員林市中正里,1000710-003
彰化縣員林市仁愛里,1000710-040
彰化縣員林市仁美里,1000710-004
彰化縣員林市光明里,1000710-007
彰化縣員林市出水里,1000710-028
彰化縣員林市南平里,1000710-013
彰化縣員林市南東里,1000710-034
彰化縣員林市南興里,1000710-014
彰化縣員林市和平里,1000710-006
